trace,memory,mse,mape,rmse
0.36,1.25,0.0639556145833333,0.6450312657114126,0.25289447321626723
0.36,1.5,0.07306952604166679,0.6888900672448472,0.27031375481404346
0.36,1.75,0.07942601041666678,0.7191643885118155,0.2818262060502301
0.36,2,0.08390437500000014,0.7393924396681756,0.28966251914944074
0.36,2.25,0.09369619270833347,0.7815465529160387,0.3060983382972431
0.36,2.5,0.10141607291666692,0.8131115667420825,0.31845890302622554
0.36,2.75,0.11409907291666653,0.8621696675465053,0.3377855427881225
0.36,3,0.12218135416666676,0.8920358848667674,0.34954449526014103
0.36,3.25,0.13588115104166676,0.9406265711412772,0.36862060582890205
0.36,3.5,0.14779409375000002,0.9807327017345401,0.38443997418322673
0.36,3.75,0.16009046354166673,1.0207323875062848,0.40011306344790437
0.36,4,0.17386154166666662,1.0635942998994468,0.416967075039105
0.36,4.25,0.18485260937499975,1.0964335093011557,0.4299448910907068
0.36,4.5,0.19664770833333325,1.1297542735042732,0.4434497810725959
0.36,4.75,0.2082885625000001,1.1629925527903473,0.4563864179617971
0.36,5,0.22344269791666682,1.205066145047763,0.4726972582072661
0.36,5.25,0.22911594791666665,1.2196922919808948,0.4786605769401389
0.36,5.5,0.2407137760416662,1.2502128896430353,0.4906259023346262
0.36,5.75,0.24529406770833337,1.261701860231272,0.4952717109913844
0.36,6,0.2520096979166666,1.2790562939919556,0.502005675183724
0.36,6.25,0.25566317187500015,1.2870035193564608,0.5056314585496042
0.36,6.5,0.2632369062500001,1.3063466251885372,0.5130661811598969
0.36,6.75,0.2662615312500001,1.3131858031674213,0.5160053597105365
0.36,7,0.2681659635416667,1.3182531265711415,0.5178474326881101
0.36,7.25,0.26822115104166655,1.3182448780794367,0.5179007154288036
0.36,7.5,0.26832421875,1.3187354669431874,0.5180002111486056
0.43,1,0.19382335937499998,1.1224944224484665,0.4402537443054857
0.43,1.25,0.19059552083333334,1.1122776835093011,0.43657246916558234
0.43,1.5,0.19569787499999977,1.1282263386123672,0.4423775254237039
