trace,memory,mse,mape,rmse
0.71,10,0.028129356488997656,0.2996581780460438,0.16771808635027308
0.71,10.25,0.0284371038759573,0.30116742758113857,0.16863304502960652
0.71,10.5,0.02895216355339152,0.300168168094564,0.17015335304774784
0.78,3,0.02070136116120998,0.2652412999338752,0.1438796759838233
0.78,3.25,0.021396337663934915,0.26900076094229314,0.14627487024070443
0.78,3.5,0.0215304052436709,0.2679298821134445,0.1467324273760606
0.78,3.75,0.021248129791131987,0.26794034317371207,0.14576738246649004
0.78,4,0.021797995186069334,0.270234690818756,0.1476414412895964
0.78,4.25,0.022087333847026054,0.272082269885504,0.1486180804849331
0.78,4.5,0.0228445802603063,0.27677349104762844,0.15114423660962498
0.78,4.75,0.02295732124949746,0.2764541463147172,0.15151673587263376
0.78,5,0.022863168230097056,0.2752516417821807,0.15120571493861287
0.78,5.25,0.023199736834435977,0.27409041155021086,0.15231459823154173
0.78,5.5,0.02323936938494512,0.2770216916241638,0.15244464367417151
0.78,5.75,0.023496242632295473,0.2762313893040932,0.1532848414954834
0.78,6,0.02367895980086694,0.2795136059895391,0.15387969262013407
0.78,6.25,0.024181780075474835,0.28048279784548635,0.15550491977900519
0.78,6.5,0.024530985403234527,0.2806338436158737,0.15662370638966033
0.78,6.75,0.024861886644977044,0.2839670373394982,0.15767652534533175
0.78,7,0.025061204602367014,0.2848196737864554,0.1583073106409398
0.78,7.25,0.025318720650839125,0.28490451037472875,0.15911857418553976
0.78,7.5,0.025857612386984027,0.2867438851004442,0.16080302356294182
0.78,7.75,0.0267456668316447,0.293346233461866,0.1635410249192682
0.78,8,0.02636728362975205,0.2891744765886383,0.162380059212183
0.78,8.25,0.02726277274813885,0.29414743019009865,0.1651144231983955
0.78,8.5,0.027262269599045413,0.29231647497610314,0.165112899553746
0.78,8.75,0.02783836963482631,0.29757872103206,0.1668483432187036
0.78,9,0.028812376815723573,0.30332759546362903,0.16974208911087307
0.78,9.25,0.028667585093293983,0.2995012824984703,0.16931504686026574
0.78,9.5,0.029365112659852657,0.30479908896078245,0.17136251824670604
0.78,9.75,0.03056989217110519,0.31157149411502955,0.17484247816564827
0.78,10,0.03092732520278062,0.3090259520768903,0.17586166496078848
0.78,10.25,0.03151043739606151,0.31142725732321236,0.1775117950899644
0.78,10.5,0.03219584240683934,0.31556897328286987,0.17943199939486643
0.85,3,0.02583230887578802,0.29218184325026836,0.16072432571265627
0.85,3.25,0.02599598553798895,0.2967353016108871,0.16123270616716992
0.85,3.5,0.026071226612169332,0.2945920781671356,0.16146586825756498
0.85,3.75,0.026556793587089202,0.29852977398541386,0.1629625527140797
0.85,4,0.027046977857214445,0.29895414874238824,0.16445965419279723
0.85,4.25,0.027477779603428107,0.3000090628332973,0.16576422896218626
0.85,4.5,0.027218130914343164,0.29704094471943726,0.16497918327577926
0.85,4.75,0.02731999338163561,0.29913283100728355,0.16528760807040438
0.85,5,0.027585868988336072,0.2979105996317682,0.1660899424659304
0.85,5.25,0.027845299879445045,0.302440857226407,0.16686911002173244
0.85,5.5,0.028084018534032945,0.3034421961311454,0.16758287064623564
0.85,5.75,0.028221691218761568,0.3039267917590351,0.16799312848673773
0.85,6,0.02886093861639564,0.30728371801716303,0.1698850747311124
0.85,6.25,0.028502620631821192,0.30262251336504997,0.16882719162451643
0.85,6.5,0.029293039441320307,0.30624337037600685,0.1711520944695691
0.85,6.75,0.029454608434461554,0.30606870304466266,0.17162344954714537
0.85,7,0.029705292240819116,0.306486536390972,0.1723522330601467
